category,top_keys
討論,"[('柯文哲', 11), ('賴清德', 10), ('高嘉瑜', 10), ('侯友宜', 8), ('王美花', 4), ('蔡英文', 4), ('陳其邁', 4), ('黃國昌', 3), ('吳欣岱', 3), ('寬恒', 2), ('郭董', 2), ('林智堅', 2), ('陳吉仲', 2), ('黃承國', 2), ('徐巧芯', 2), ('楊曜', 1), ('北者冰狼', 1), (' 侯', 1), (' 賴神', 1), ('阿寬仔', 1), ('林靜儀瑟瑟', 1), ('高宏安', 1), ('何志偉', 1), ('徐國勇', 1), ('英賴', 1), ('尤達', 1), ('江啟臣', 1), ('許淑華', 1), ('林秉', 1), ('巴菲特', 1), ('郭台銘', 1), ('柯阿北', 1), ('費鴻泰', 1), ('游淑慧', 1), ('馬克宏', 1), ('韓國瑜', 1), ('李四川', 1), ('鍾小平', 1), ('郭董占', 1), ('葉元之鐘', 1), ('林岱樺', 1), ('李多慧', 1), ('高虹安', 1), ('鄭弘儀', 1), ('李正皓', 1), ('蔡賴', 1)]"
轉錄,"[('郭台銘', 4), ('周玉蔻', 2), ('徐巧芯', 1), ('高虹安', 1), ('陳奕齊', 1), ('北者冰狼', 1), ('黃暐瀚', 1), ('FB', 1), ('朱立倫', 1)]"
新聞,"[('柯文哲', 23), ('許銘春', 8), ('賴清德', 6), ('李多慧', 5), ('侯友宜', 4), ('國台', 3), ('徐巧芯', 3), ('林右昌', 2), ('劉家昌', 2), ('黃暐瀚', 2), ('王高成', 2), ('黃瀞瑩', 2), ('郭台銘', 1), ('鄭寶', 1), ('鄭寶清', 1), ('吳崑玉', 1), ('楊曜', 1), ('羅智強', 1), ('高虹安', 1), ('黃承國', 1), ('何志偉', 1), ('黃偉哲', 1), ('連勝文', 1), ('陳其邁', 1), ('蔡政府', 1), ('巴菲特', 1), ('陳時中', 1), ('徐國勇', 1), (' 侯友宜', 1), ('謝國樑', 1), ('郭貞慧', 1), ('陳吉仲', 1), ('王鴻薇', 1), ('柯P愛', 1), ('韓國瑜', 1), ('陳清茂', 1), ('馬克宏', 1), ('許淑華', 1), ('游淑慧', 1), ('周玉蔻', 1), ('韓粉', 1), ('吳欣岱', 1)]"
黑特,"[('侯友宜', 4), ('高嘉瑜', 2), ('顏寬恆', 2), ('盧秀燕', 2), ('田方倫', 1), ('巴菲特', 1), ('米國', 1), ('吳欣岱', 1), ('陳吉仲', 1), ('高虹安', 1), ('李多慧', 1)]"
全部,"[('柯文哲', 34), ('侯友宜', 16), ('賴清德', 16), ('高嘉瑜', 12), ('許銘春', 8), ('李多慧', 7), ('郭台銘', 6), ('徐巧芯', 6), ('吳欣岱', 5), ('陳其邁', 5), ('陳吉仲', 4), ('王美花', 4), ('蔡英文', 4), ('高虹安', 4), ('黃國昌', 3), ('黃承國', 3), ('巴菲特', 3), ('周玉蔻', 3), ('黃暐瀚', 3), ('國台', 3), ('楊曜', 2), ('寬恒', 2), ('北者冰狼', 2), ('郭董', 2), ('林智堅', 2), ('何志偉', 2), ('徐國勇', 2), ('許淑華', 2), ('游淑慧', 2), ('馬克宏', 2), ('韓國瑜', 2), ('林右昌', 2), ('劉家昌', 2), ('王高成', 2), ('黃瀞瑩', 2), ('顏寬恆', 2), ('盧秀燕', 2), (' 侯', 1), (' 賴神', 1), ('阿寬仔', 1), ('林靜儀瑟瑟', 1), ('高宏安', 1), ('英賴', 1), ('尤達', 1), ('江啟臣', 1), ('林秉', 1), ('柯阿北', 1), ('費鴻泰', 1), ('李四川', 1), ('鍾小平', 1), ('郭董占', 1), ('葉元之鐘', 1), ('林岱樺', 1), ('鄭弘儀', 1), ('李正皓', 1), ('蔡賴', 1), ('陳奕齊', 1), ('FB', 1), ('朱立倫', 1), ('鄭寶', 1), ('鄭寶清', 1), ('吳崑玉', 1), ('羅智強', 1), ('黃偉哲', 1), ('連勝文', 1), ('蔡政府', 1), ('陳時中', 1), (' 侯友宜', 1), ('謝國樑', 1), ('郭貞慧', 1), ('王鴻薇', 1), ('柯P愛', 1), ('陳清茂', 1), ('韓粉', 1), ('田方倫', 1), ('米國', 1)]"
